name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,2943,191075593,,,,,-94.4913949,39.121831,POINT (-94.4913949 39.121831)
,2944,191075594,,,,,-94.491031,39.1215451,POINT (-94.491031 39.1215451)
,2945,191075595,,,,,-94.4909331,39.1214812,POINT (-94.4909331 39.1214812)
,2946,191075596,,,,,-94.4907204,39.1213677,POINT (-94.4907204 39.1213677)
,2947,191075598,,,,,-94.4904962,39.1212775,POINT (-94.4904962 39.1212775)
,2948,191075600,,,,,-94.4903894,39.1212426,POINT (-94.4903894 39.1212426)
,2949,191075602,,,,,-94.4901325,39.1211805,POINT (-94.4901325 39.1211805)
,2950,191075604,level_crossing,,,,-94.4897239,39.1211334,POINT (-94.4897239 39.1211334)
,2951,191075608,,,,,-94.4902951,39.121016,POINT (-94.4902951 39.121016)
,2952,191075609,,,,,-94.4900953,39.1210124,POINT (-94.4900953 39.1210124)
,2953,191075610,,,,,-94.4897234,39.1209823,POINT (-94.4897234 39.1209823)
,2954,191075614,,,,,-94.488694,39.1210649,POINT (-94.488694 39.1210649)
,2955,191075616,,,,,-94.4885483,39.1210696,POINT (-94.4885483 39.1210696)
,2956,191075618,,,,,-94.486435,39.1210036,POINT (-94.486435 39.1210036)
,2957,191075621,,,,,-94.4861466,39.1210203,POINT (-94.4861466 39.1210203)
,2958,191075622,,,,,-94.4858636,39.1210588,POINT (-94.4858636 39.1210588)
,2959,191075624,,,,,-94.4856558,39.1210952,POINT (-94.4856558 39.1210952)
,2960,191075626,,,,,-94.4854922,39.1211379,POINT (-94.4854922 39.1211379)
,2961,191075629,,,,,-94.512513,39.1394785,POINT (-94.512513 39.1394785)
,2962,191075631,,,,,-94.5124228,39.1392346,POINT (-94.5124228 39.1392346)
,2963,191075633,,,,,-94.5121527,39.1388538,POINT (-94.5121527 39.1388538)
,2964,191075635,,,,,-94.51208,39.138761,POINT (-94.51208 39.138761)
,2965,191075636,,,,,-94.51195,39.138617,POINT (-94.51195 39.138617)
,2966,191075637,,,,,-94.511663,39.138384,POINT (-94.511663 39.138384)
,2967,191075638,,,,,-94.5113948,39.1382412,POINT (-94.5113948 39.1382412)
,2968,191075640,,,,,-94.5111299,39.138153,POINT (-94.5111299 39.138153)
,2969,191075641,,,,,-94.5109668,39.1381346,POINT (-94.5109668 39.1381346)
,2970,191075643,,,,,-94.5089303,39.1380748,POINT (-94.5089303 39.1380748)
,2971,191075649,,,,,-94.5276812,39.1370732,POINT (-94.5276812 39.1370732)
,2972,191075651,,,,,-94.5243745,39.1389293,POINT (-94.5243745 39.1389293)
,2973,191075652,,,,,-94.519928,39.14141,POINT (-94.519928 39.14141)
,2974,191075654,,,,,-94.5198118,39.141494,POINT (-94.5198118 39.141494)
,2975,191075656,,,,,-94.5196256,39.1417232,POINT (-94.5196256 39.1417232)
,2976,191075658,,,,,-94.519587,39.1417926,POINT (-94.519587 39.1417926)
,2977,191075660,,,,,-94.5195277,39.1419593,POINT (-94.5195277 39.1419593)
,2978,191075665,,,,,-94.5197984,39.1386694,POINT (-94.5197984 39.1386694)
,2979,191075666,,,,,-94.5199097,39.1385371,POINT (-94.5199097 39.1385371)
,2980,191075667,,,,,-94.5202301,39.1383082,POINT (-94.5202301 39.1383082)
,2981,191075669,,,,,-94.5230962,39.1367087,POINT (-94.5230962 39.1367087)
,2982,191075692,,,,,-94.4834067,39.1220774,POINT (-94.4834067 39.1220774)
,2983,191075694,,,,,-94.4835274,39.1220399,POINT (-94.4835274 39.1220399)
,2984,191075695,,,,,-94.4836455,39.1219921,POINT (-94.4836455 39.1219921)
,2985,191075696,,,,,-94.4837688,39.1219348,POINT (-94.4837688 39.1219348)
,2986,191075697,,,,,-94.4843629,39.1216206,POINT (-94.4843629 39.1216206)
,2987,191075699,,,,,-94.4849758,39.1213002,POINT (-94.4849758 39.1213002)
,2988,191075700,,,,,-94.4852789,39.1211545,POINT (-94.4852789 39.1211545)
,2989,191075701,,,,,-94.4854144,39.1211098,POINT (-94.4854144 39.1211098)
,2990,191075704,,,,,-94.4855753,39.1210734,POINT (-94.4855753 39.1210734)
,2991,191075706,,,,,-94.4857134,39.1210515,POINT (-94.4857134 39.1210515)
